KAISHA_CODE,TOSAN_FLG,URIAGE,JUGYOIN_SU,SHIHON_KIN,SOU_SHIHON,JIKO_SHIHON,SO_SHIHON_KEIJO_RIEKI_RITU,SO_SHIHON_KIGYO_SHUEKI_RITU,SO_SHIHON_ZEIBIKIMAE_RIEKI_RITU,URIAGE_EIGYO_HIYO_RITU,URIAGE_GENKA_RITU,URIAGE_HANKANHI_RITU,URIAGE_EIGYO_GAI_SHUEKI_RITU,URIAGE_EIGYO_GAI_HIYO_RITU,URIAGE_KEIJO_RIEKI_RITU,URIAGE_ZEIBIKIMAE_RIEKI_RITU,URIAGE_TOKI_RIEKI_RITU,URIAGE_KINYU_SHUSHI_RITU,URIAGE_KINRI_FUTAN_RITU,SHIHON_KIN_BAI_RITU,SO_SHIHON_KAITEN_KIKAN,KOTEI_SHISAN_KAITEN_KIKAN,YUKEI_KOTEI_SHISAN_KAITEN_KIKAN,URIKAKE_KAITEN_KIKAN,TANAOROSHI_KAITEN_KIKAN,SHOHIN_KAITEN_KIKAN,KAIIRE_SAIMU_KAITEN_KIKAN,SHIHARAI_TEGATA_KAITEN_KIKAN,KAIKAKE_KAITEN_KIKAN,GEN_YOKIN_TEMOCHI_NISSU
C00406,0,2345884,75,20000,4032,1737,8.16,8.53,6.73,97.05,79.74,17.3,9.85,1.58,11.22,9.25,8.22,1.18,0.51,86.85,16.5,7.02,3.72,1.58,0.82,0.45,1.06,0.26,0.8,131.03
C00421,0,1068645,60,45000,2148,462,0.4,2.11,0.63,105.58,77.68,27.91,9.52,3.3,0.64,1.01,0.98,-2.1,2.76,10.28,19.3,9.78,4.69,2.35,4.56,3.69,0.59,0,0.59,66.32
C00433,0,362671,32,32000,487,-200,-3.57,-1.78,-3.62,111.3,93.35,17.95,9.39,1.92,-3.83,-3.89,-3.93,-1.9,1.92,-6.27,12.9,6.12,5.51,1.83,2.13,0.17,0.81,0,0.81,57.4
C00460,0,520313,8,10000,234,73,22.05,23.14,17.44,100.66,76.4,24.25,9.05,0.46,7.93,6.28,4.94,-0.39,0.39,7.3,4.32,0.96,0.31,1.19,1.15,1.15,0.17,0,0.17,24.19
C00464,0,2897122,115,380640,4463,2148,1.37,1.81,14.53,106.32,88.92,17.4,8.99,0.97,1.69,17.91,16.24,-0.41,0.53,5.57,14.79,8.68,7.03,0.39,1.14,1.08,0,0,0,117.14
C00467,1,40042,11,6000,174,46,-2.93,-1.37,0.17,112.28,56.56,55.72,8.98,6.89,-10.19,0.59,0.04,-5.42,5.42,7.77,41.75,31.57,31.31,0.86,8.3,7.15,1.08,0.12,0.96,2.57
C00469,0,988377,33,10000,1345,376,2.4,3.32,2.41,105.35,82.94,22.41,8.96,1,2.61,2.63,2.58,-0.86,1,37.67,13.07,9.78,8.2,1.18,0.42,0.19,0.81,0,0.81,22.89
C00502,0,986577,20,27000,1496,664,8.69,9.22,9.36,96.44,53.68,42.77,8.56,1.58,10.54,11.36,6.5,-0.02,0.65,24.6,14.56,8.25,6.59,0.64,1.24,0.19,0.52,0.09,0.42,100.28
C00508,1,148564,19,25000,139,-63,-26.35,-21.58,-25.68,124.47,92.82,31.65,8.51,3.76,-19.72,-19.23,-19.65,-3.31,3.57,-2.52,8.98,5.76,5.05,1.56,0.73,0.14,0.6,0.11,0.49,18.84
C00510,0,258428,7,20000,176,98,-6.91,-6.84,41.96,112.15,96.41,15.74,8.48,0.11,-3.78,25.31,15.4,-0.04,0.04,4.94,6.56,3.14,2.92,1.53,0.49,0.08,0,0,0,38.09
C00533,0,1937435,100,90000,8559,8183,3.54,3.54,1.52,95.72,56.16,39.56,8.25,0.01,12.52,5.38,3.44,3.12,0,90.92,42.41,10.27,9.12,2.11,1.85,1.53,0.3,0,0.3,267.05
C00536,0,549394,23,48000,1128,363,3.16,3.62,3.24,89.77,74.32,15.45,8.23,13.26,5.2,5.33,3.44,-0.34,0.75,7.58,19.72,8.53,5.12,1.05,0.66,0.21,0.45,0.13,0.32,233.74
C00542,0,1180388,30,34500,3297,1209,0.94,1.55,0.94,104.44,86.25,18.2,8.18,1.63,2.11,2.11,1.43,-0.86,1.35,35.07,26.82,8.98,4.01,2.59,4.46,0.52,0.58,0,0.58,100.31
C00549,0,1214426,90,48000,3415,755,0.54,2.2,0.37,102.87,80.42,22.45,8.08,3.99,1.22,0.83,0.79,-2.87,3.72,15.74,27,18.63,12.73,1.5,2.19,0.8,0.97,0.55,0.41,73.63
C00556,0,1091660,53,50000,1280,336,5.04,5.92,-0.35,102.16,87.21,14.95,7.99,1.1,4.73,-0.33,-0.34,-0.76,0.83,6.73,11.26,4.89,3.23,1.77,0.4,0.39,0.31,0,0.31,125.06
C00557,0,481030,29,30000,344,56,1.1,1.85,1.1,106.93,77.81,29.11,7.99,0.43,0.63,0.63,0.47,-0.43,0.43,1.87,6.88,2.45,2.07,1.47,0.96,0.76,1.06,0,1.06,60.58
C00569,0,440877,15,10000,329,129,2.4,3.08,2.39,99.18,86.17,13.01,7.84,7.23,1.44,1.43,1.41,-0.32,0.41,12.99,7.18,1.94,1.35,0.85,2.39,0.44,1.76,1.41,0.35,59.09
C00572,0,133354,0,10000,76,30,0.84,1.15,0.84,107.26,87.68,19.58,7.83,0.18,0.38,0.38,0.34,-0.03,0.15,3.02,5.5,0.96,0.37,2.53,0.34,0.23,0.87,0,0.87,50.64
C00577,0,201176,12,12000,483,57,0,1.98,0,103.26,40.75,62.51,7.76,4.5,0,0,0,-0.9,3.81,4.83,23.06,13.14,5.1,0.76,7.12,7.12,0.37,0.22,0.15,16.91
C00580,0,36520,2,10000,54,-6,1.59,3.78,1.59,103.2,56.12,47.09,7.74,2.63,1.91,1.91,1.74,-2.58,2.63,-0.62,14.43,2.46,0.12,3.79,2.33,2.33,0.15,0,0.15,176.81
C00582,0,5888684,55,95000,8333,6499,8.95,8.97,9.22,95.23,84.94,10.29,7.74,2.38,10.13,10.44,6.25,0.1,0.03,68.42,13.59,6.27,4.92,1.45,0.31,0.05,0.31,0,0.31,166.98
C00596,0,33980,6,10000,68,16,0.85,2.23,0.71,104,51.19,52.81,7.59,2.22,1.37,1.15,0.98,-2.22,2.22,1.7,19.38,18.38,16.98,0.36,0.32,0.11,0.58,0,0.58,6.91
C00606,0,228952,16,40000,324,109,5.19,7.34,4.42,97.4,63.72,33.68,7.49,4.19,5.89,5.01,4.93,-2.36,2.44,2.74,13.61,5.89,2.85,1.42,5.65,3.86,0.33,0,0.33,4.93
C00629,0,719567,76,10000,1086,-467,5,5.93,4.6,100.13,90.85,9.28,7.3,1.12,6.05,5.55,5.54,-1.1,1.12,-28.45,14.5,6.04,5.73,0.84,3.52,3.52,0.43,0,0.43,108.91
C00637,0,2644968,53,20000,2552,1383,17.69,18.34,17.79,92.26,82.18,10.08,7.24,1.32,13.66,13.73,5.16,-0.08,0.5,69.17,9.26,3.09,1.94,2.03,1.11,0.05,0.94,0,0.94,88.18
C00639,0,221965,3,3500,166,22,6.96,8,0.95,102.42,97.92,4.5,7.22,0.62,4.17,0.57,0.49,-0.61,0.62,6.43,7.19,2.58,2.4,0.83,2.59,0.04,0.97,0,0.97,7.86
C00652,0,239146,105,93000,1313,-467,-6.4,-6.4,-6.38,135.2,113.27,17.52,7.08,0,-28.12,-28.06,-28.16,0.33,0,-7.37,52.75,33.09,16.17,8.76,0,0,0,0,0,22.72
C00653,0,148463,4,15000,341,132,1.36,2.25,1.36,102.95,47.3,55.65,7.08,1.62,2.51,2.51,2.41,-1.62,1.62,8.81,22.06,17.31,15.3,0.87,2.11,0.49,0.07,0,0.07,50.37
C00679,0,2698562,227,48000,3261,2619,1.27,1.27,0.86,105.45,72.13,33.31,6.88,0.21,1.22,0.83,0.55,0.01,0,54.58,11.6,5.19,4.93,1.72,0.85,0.05,1.34,0.74,0.6,74.88
C00694,0,201196,19,40000,365,1,0.39,2.96,0.39,102.15,75.83,26.32,6.82,4.11,0.56,0.56,0.49,-3.69,3.74,0.03,17.44,14.62,13.9,0.55,1.33,0.4,1.29,0.91,0.38,12.62
C00698,0,110728,30,10000,795,-383,-7.84,-6.68,-15.28,144.09,96.88,47.21,6.8,7.72,-45.01,-75.73,-76.04,-6.66,6.66,-28.45,68.93,43.96,39.42,1.52,14.84,7.43,6.37,0,4.83,37.39
C00706,0,145049,9,40000,491,160,2.4,4.18,1.86,95.4,70.59,24.82,6.74,4.83,6.5,5.04,3.59,-4.8,4.83,4,32.55,29.69,9.61,1.06,0.77,0.64,0.42,0,0.42,30.87
C00710,0,13344,0,8000,17,17,1.5,3.36,2.36,103.22,5.38,103.22,6.72,1.93,1.56,2.46,1.63,0.11,1.93,2.15,12.51,1.73,1.47,0,0,0,0,0,0,327.9
C00762,0,1154996,18,28500,1410,98,6.07,6.65,0.2,95.59,86.44,9.15,6.45,4.92,5.93,0.19,0.06,-0.56,0.57,3.46,11.72,4.26,2.51,1.62,0.49,0.07,1.13,0,1.13,57.58
C00786,0,3807516,150,13740,4152,896,-4.87,-4.04,-5.13,107.64,89.16,18.48,6.33,2.93,-4.25,-4.48,-4.49,-0.64,0.73,65.28,10.47,4,3.4,1.89,3.11,2.62,2.25,1.04,1.2,28.65
C00796,0,320376,13,15000,492,23,-0.4,1.84,-0.42,104,69.23,34.77,6.26,2.75,-0.49,-0.52,-0.56,-2.72,2.75,1.59,14.77,10.18,9.78,0.56,1.84,0.57,1,0.81,0.19,53.76
C00808,0,123248,16,54425,516,-76,-21.48,-18.43,-21.48,167.96,113.27,32.82,6.17,10.22,-72.01,-72.01,-72.26,-8.88,9.25,-1.4,40.24,32.79,31.28,1.81,2.5,2.5,0.64,0,0.64,0.12
C00834,0,1592052,85,64500,2939,1410,11.15,11.64,7.28,88.08,45.86,42.22,6.08,1.52,16.47,10.75,4.65,0.75,0.72,21.87,17.73,7.28,3.47,1.11,0.37,0.19,0.29,0,0.29,164.13
C00870,0,345339,37,5600,193,156,-11.18,-11.11,-17.89,110.9,44.92,65.98,5.92,0.04,-5.01,-8.03,-8.06,0.52,0.03,27.96,5.38,3.94,2,0.73,0.08,0,0.36,0,0.36,10.31
C00873,0,155929,25,70000,142,-107,-17.1,-9.82,-17.08,109.15,76.68,32.47,5.91,9.3,-12.54,-12.53,-12.64,-5.34,5.34,-1.54,8.8,5.9,5.82,0.42,2.1,0.37,0.22,0,0.22,1.58
C00876,0,522468,20,10000,1089,498,0.93,1.38,0.93,103.47,44.72,58.74,5.9,0.88,1.56,1.56,1.07,-0.52,0.74,49.87,20.02,13.46,7.74,1.9,2.36,1.41,0.29,0,0.29,25
C00898,0,3384980,70,10000,4217,1687,4.13,4.56,2.38,97.49,77.83,19.66,5.81,4.21,4.11,2.37,1.66,-0.04,0.43,168.79,11.96,8.25,4.93,1.6,0.36,0.12,1.51,0,1.5,45.01
C00904,0,2186684,178,50000,2866,198,1.04,2.51,0.82,101.47,79.7,21.77,5.78,3.22,1.09,0.86,0.62,-1.54,1.54,3.96,12.58,7.17,6.24,1.26,1.66,1.4,0.36,0,0.36,68.85
C00914,0,496605,16,25000,963,47,-1.9,-1.18,-1.91,105.69,83.66,22.03,5.73,2.98,-2.94,-2.96,-2.99,-1.11,1.11,1.91,18.62,13.83,13.72,2.64,0.41,0.16,1.33,0,1.33,15.83
C00921,0,121766,5,3000,193,60,-9.13,-8.79,-9.13,116.89,92.86,24.02,5.7,0.44,-11.63,-11.63,-11.67,-0.42,0.43,20.02,15.29,8.28,7.79,0.92,5.07,0.11,0.1,0,0.1,31.14
C00929,0,94867,1,3000,138,65,11.78,11.78,11.71,91.91,53.54,38.37,5.69,0,13.78,13.7,9.12,0.01,0,21.79,14.04,10.6,8.82,0.67,0.41,0.02,0.23,0,0.23,71.87
C00957,0,1397138,10,10000,2558,2107,0.87,0.89,0.87,100.21,93.37,6.84,5.5,4.01,1.28,1.28,1.28,0.01,0.03,210.76,17.58,1.81,0.65,1.49,3.97,0,2.53,0,2.53,288.52
C00958,0,308432,33,46000,324,-282,-0.7,3.09,2.29,102.39,94.72,7.66,5.5,3.71,-0.59,1.93,1.88,-3.2,3.2,-6.14,10.11,8.64,8.56,0.74,0.43,0.39,0.42,0.07,0.35,1.91
C00964,0,402016,8,10000,457,211,15.11,16.08,11.32,89.24,60.78,28.46,5.46,2.45,13.77,10.32,6.52,1.38,0.88,21.12,10.94,3.53,1.33,1.46,1.56,0.37,0.6,0.43,0.17,59.1
C00979,0,392988,7,10000,667,74,2.25,3.46,2.25,98.38,71.73,26.65,5.38,3.93,3.06,3.06,2.05,-1.62,1.64,7.44,16.3,2.44,2.42,1.37,2.08,2.02,0.82,0.09,0.72,312.25
C00982,0,421920,33,10000,605,53,1.1,1.67,1.1,103.37,78.59,24.79,5.37,0.74,1.26,1.26,0.91,-0.66,0.66,5.32,13.77,8.2,7.76,1.94,2.07,0.41,1.16,0,1.16,18.36
C00995,0,112401,2,18000,54,-193,9.52,12.99,9.52,98.86,90.55,8.31,5.3,2.76,3.68,3.68,3.53,-1.34,1.34,-10.76,4.64,0.95,0.75,0.68,0.94,0.37,1.5,0,1.5,54.84
C01000,1,68506,10,30000,165,19,0.63,2.17,0.54,101.07,74.58,26.49,5.27,2.98,1.22,1.04,0.82,-2.97,2.98,0.63,23.22,8.88,8.35,1.77,12.51,1.28,0,0,0,0.12
C01018,0,350505,5,30000,581,549,7.02,7.02,5.47,95.87,73.21,22.66,5.19,0,9.32,7.26,5.36,0,0,18.31,15.93,6.16,5.98,0.11,1.09,0,0.43,0,0.43,91.57
C01038,0,250486,11,7000,71,0,-6.57,-5.84,2.34,102.79,69.85,32.94,5.11,3.82,-1.5,0.53,0.51,-0.17,0.17,-0.01,2.74,0.5,0.47,0.81,0.18,0.01,0.44,0,0.44,35.24
C01057,0,136429,10,5000,105,4,0.84,1.54,0.94,104.13,68.43,35.7,5.08,0.44,0.52,0.58,0.54,-0.44,0.44,0.94,7.43,5.12,4.14,1.22,0.4,0.02,0.71,0,0.71,17.99
C01075,0,283979,30,20000,275,17,1.58,3.81,1.2,101.72,67.38,34.34,5.01,2.06,1.23,0.94,0.59,-1.73,1.74,0.86,9.33,4.57,3.55,1.22,2.82,2.14,0.33,0.07,0.26,21.47
C01092,0,961676,38,75000,3765,3293,-1.46,-1.45,-1.75,108.33,83.6,24.73,4.95,1.18,-4.56,-5.47,-5.51,1.4,0.02,37.84,37.59,18.94,6.7,1.64,3.22,0.8,0.52,0,0.52,410.32
C01093,0,78275,7,10000,33,-10,-52.13,-50.53,-55.12,128.47,12.15,109.72,4.95,0.17,-23.69,-23.69,-23.76,-0.16,0.17,-1.04,4.16,0.04,0,1.15,0.07,0.07,0,0,0,66.21
C01102,0,448262,34,20000,858,153,0.06,1.6,0.18,102.49,77.86,24.63,4.94,2.35,0.09,0.28,0.19,-2.28,2.35,7.66,18.39,8.81,8.36,1.4,4.1,4,0.29,0.04,0.25,62.38
C01116,0,208512,18,20000,201,35,5.43,6.47,5.43,99.9,62.71,37.18,4.89,0.8,4.19,4.19,4.11,-0.74,0.8,1.79,9.27,4.59,3.62,0.83,2.03,1.18,1.06,0.62,0.44,47.17
C01151,0,40557,2,3000,34,-14,1.68,1.77,1.68,103.58,37.81,65.77,4.78,0.06,1.14,1.14,1.14,-0.06,0.06,-4.97,8.15,2.84,1.44,0.77,0.69,0.69,0.67,0,0.67,61.19
C01184,0,2058752,34,40000,1313,341,2.17,2.73,2.02,103.22,76.93,26.29,4.67,0.35,1.11,1.03,1.02,-0.29,0.29,8.54,6.12,3.48,3.16,0.96,1.18,1.16,0.96,0,0.96,14.82
C01191,0,181446,9,20000,381,107,-1.74,-0.86,0.11,102.98,52.72,50.26,4.65,4.6,-2.92,0.18,0.12,-1.47,1.47,5.36,20.21,14.49,9.75,2.43,1.6,0,0.9,0.27,0.64,14.47
C01222,0,581458,48,22000,680,-15,-11.85,-10.03,-11.64,113.95,88.03,25.92,4.57,1.71,-11.1,-10.9,-10.94,-1.25,1.71,-0.7,11.24,6.7,4.95,2.06,0.18,0,1.33,0,1.33,18.41
C01252,0,153560,4,16000,121,10,5.18,6.9,0.79,99.95,74.02,25.93,4.5,1.28,3.26,0.5,0.28,-1.07,1.09,0.68,7.57,3.86,3.86,1.13,2.32,1.85,0,0,0,6.25
C01255,0,596886,79,10000,1099,605,2.94,3.51,1.13,99.26,91.54,7.73,4.49,0.91,4.33,1.67,1.37,-0.57,0.84,60.55,17.68,13.88,10.22,1.44,0.06,0,0.45,0,0.45,65.26
