KAISHA_CODE,TOSAN_FLG,URIAGE,JUGYOIN_SU,SHIHON_KIN,SOU_SHIHON,JIKO_SHIHON,SO_SHIHON_KEIJO_RIEKI_RITU,SO_SHIHON_KIGYO_SHUEKI_RITU,SO_SHIHON_ZEIBIKIMAE_RIEKI_RITU,URIAGE_EIGYO_HIYO_RITU,URIAGE_GENKA_RITU,URIAGE_HANKANHI_RITU,URIAGE_EIGYO_GAI_SHUEKI_RITU,URIAGE_EIGYO_GAI_HIYO_RITU,URIAGE_KEIJO_RIEKI_RITU,URIAGE_ZEIBIKIMAE_RIEKI_RITU,URIAGE_TOKI_RIEKI_RITU,URIAGE_KINYU_SHUSHI_RITU,URIAGE_KINRI_FUTAN_RITU,SHIHON_KIN_BAI_RITU,SO_SHIHON_KAITEN_KIKAN,KOTEI_SHISAN_KAITEN_KIKAN,YUKEI_KOTEI_SHISAN_KAITEN_KIKAN,URIKAKE_KAITEN_KIKAN,TANAOROSHI_KAITEN_KIKAN,SHOHIN_KAITEN_KIKAN,KAIIRE_SAIMU_KAITEN_KIKAN,SHIHARAI_TEGATA_KAITEN_KIKAN,KAIKAKE_KAITEN_KIKAN,GEN_YOKIN_TEMOCHI_NISSU
C09813,0,156113,2,10000,457,151,4.01,4.94,4.01,88.14,47.32,40.82,0.29,2.73,9.42,9.42,6.17,-2.12,2.16,15.16,28.14,16,14.05,0,0.51,0,0,0,0,334.57
C00003,0,113483,9,10000,166,-14,37.78,39.59,38.38,94.07,78.16,15.91,33.52,2.32,27.35,33.01,25.7,-2.32,2.32,-1.45,14.06,9.45,9.08,0.56,1.18,0.06,0.4,0,0.4,43.36
C00006,0,25370,12,72400,375,-39,-27.38,-26.38,-27.38,174.2,113.27,109.72,33.52,17.07,-72.08,-75.73,-76.04,-8.88,9.25,-0.54,74.75,49.02,39.42,1.64,14.84,9.7,6.37,0,4.83,7.24
C00011,0,7209,2,300,62,22,6.17,6.49,6.28,147.31,99.37,47.94,33.52,2.22,27.35,33.01,25.7,-2.19,2.22,76.5,74.75,49.02,39.42,3.28,12.97,0,0.38,0,0.38,322.2
C00015,0,107643,3,30000,92,0,1,1.55,1,133.59,40.16,93.43,33.52,0.42,0.69,0.69,0.31,-0.38,0.38,0.02,8.28,5.49,5.29,1.38,1.18,1.18,0.15,0,0.15,0.94
C00017,0,213555,28,10000,250,66,6.82,8.04,7.03,126.09,41.05,85.04,33.52,1.59,6.39,6.58,6.24,-1.12,1.14,6.67,11.24,5.35,4.73,1.37,0.4,0.2,0.96,0.15,0.81,111.07
C00025,0,100920,4,10000,229,46,18.73,19.37,18.73,110.09,79.78,30.31,33.52,1.96,27.35,33.01,25.7,-0.36,1.16,4.65,21.84,7.72,7.72,1.93,7.32,7.08,0,0,0,28.12
C00032,0,2842,2,37000,75,-30,-22.91,-22.39,-22.91,174.2,113.27,109.72,33.52,11.14,-72.08,-75.73,-76.04,-8.88,9.25,-0.82,74.75,49.02,39.42,0.19,14.84,9.7,6.37,0,4.83,1.75
C00040,0,91288,4,20000,1420,1248,-0.69,-0.69,-0.74,104.63,63.58,41.04,33.52,17.07,-8.59,-9.22,-9.22,0.03,0,62.41,74.75,49.02,25.8,1.3,2.74,0.76,0.3,0,0.3,181.24
C00052,0,32803,5,3000,57,4,-12.63,-12.29,-12.63,160.24,81.45,78.79,33.52,0.48,-17.86,-17.86,-18.03,-0.47,0.48,1.5,16.97,6.46,6.17,1.43,0.97,0.41,0.78,0,0.78,205.34
C00072,0,62014,2,10000,90,-3,-5.07,-1.91,-5.07,132.22,67.64,64.58,29.98,3.7,-5.94,-5.94,-6.11,-3.7,3.7,-0.31,14.06,8.34,8.21,0.65,2.06,0.32,0.33,0,0.33,91.29
C00080,0,849219,17,35000,449,-467,-15.45,-10.11,-15.45,106.28,97.89,8.39,28.03,17.07,-6.54,-6.54,-6.58,-2.26,2.26,-19.71,5.08,2.01,1.82,0.75,0.27,0.16,0.41,0,0.41,1.5
C00087,0,142856,8,20462,141,17,-1.74,-0.83,-1.4,126.71,88.81,37.9,26.05,0.72,-1.38,-1.11,-1.21,-0.68,0.72,0.78,9.49,2.87,2.31,1.66,0.57,0.57,1.86,0,1.86,117.24
C00098,0,168400,1,10000,130,-9,14.63,16.8,14.63,114.08,49.47,64.61,24.5,1.35,9.07,9.07,9.07,-1.17,1.35,-0.92,7.44,3.4,1.82,0.63,1.44,0.58,0.31,0,0.31,21.9
C00111,0,47639,16,3000,151,3,0.18,1.1,0.18,120.03,21.06,98.97,22.83,2.35,0.45,0.45,0.18,-2.34,2.35,1.04,30.56,19.67,19.42,0.42,1.87,1.87,0.33,0.08,0.25,153.45
C00112,0,45766,3,21060,32,-17,24.97,24.97,24.97,105.71,71.05,34.67,22.51,2.67,14.13,14.13,13.65,0,0,-0.81,6.79,3.93,3.69,0.75,0.72,0.63,0.77,0,0.77,36.35
C00134,0,142969,0,10000,77,3,37.78,39.59,41.96,98.99,77.96,21.03,20.63,0.35,21.29,21.29,16.61,-0.26,0.26,0.37,5.18,1.19,0.98,1.23,0.61,0,0.19,0,0.19,62.26
C00156,0,1007332,50,45000,1830,124,3.68,5.87,0.54,108.97,88.59,20.38,18.14,3.82,5.35,0.79,0.65,-3.1,3.19,2.77,17.45,10.59,10.04,0.81,3.52,0,0.62,0.43,0.19,57.62
C00158,0,276740,29,83350,124,22,7.71,7.71,7.71,108.28,64.92,43.35,18.01,6.97,2.77,2.77,2.7,0.01,0,0.27,4.3,0.94,0.93,0.87,2.34,0.16,0.67,0,0.67,4.11
C00167,0,155252,30,15000,400,-203,-18.39,-17.4,-14.79,153.07,113.27,33.09,17.2,2.06,-37.93,-30.51,-30.51,-2.04,2.04,-13.58,24.75,17,16.88,0.66,5.14,0,0.21,0,0.21,32.25
C00180,0,889450,11,10000,638,482,16.17,16.49,16.17,101.63,89.12,12.5,16.49,5.58,9.29,9.29,9.29,-0.18,0.18,48.3,6.89,2.86,2.81,1.14,0.37,0.37,0,0,0,15.62
C00198,0,128026,6,9900,65,28,22.39,23.05,22.39,100.1,35.19,64.91,15.66,6.35,9.2,9.2,6.45,-0.27,0.27,2.89,4.93,1.14,1.14,0.01,0.36,0.36,0,0,0,55.83
C00201,0,37644,3,5000,15,-32,26.82,29.15,26.82,105.78,64.92,40.86,15.64,0.79,9.08,9.08,8.93,-0.77,0.79,-6.46,4.06,1.87,1.83,0.76,0.26,0.13,2.64,0,2.64,6.87
C00207,0,186454,20,10000,292,56,0.24,0.71,0.24,114.46,88.52,25.94,15.34,0.58,0.3,0.3,0.27,-0.57,0.58,5.63,15.04,10.09,9.66,1.61,0.84,0.16,0.34,0,0.34,70.28
C00216,0,225231,4,10000,249,23,15.5,17.06,0.24,99.96,87.32,12.64,15.07,1.38,13.73,0.21,0.19,-1.38,1.38,2.3,10.63,2.8,2.5,2.81,3.59,2.74,0.39,0,0.39,42.37
C00218,0,467008,47,60000,629,43,5.38,6.65,5.38,106.69,83.55,23.14,14.92,2.43,5.8,5.8,5.8,-1.36,1.37,0.73,12.94,7.61,6.44,1.4,0.86,0.24,1.1,0.34,0.76,50.97
C00222,0,263115,22,27000,390,236,2.25,2.56,2.61,111.82,92.99,18.83,14.86,0.37,2.67,3.1,3.04,-0.34,0.37,8.77,14.24,5.66,5.54,2.99,0.66,0.66,1.07,0,1.07,128.56
C00226,0,269739,0,1000,83,2,-1.04,0.06,-1.04,104.96,55.86,49.11,14.67,9.96,-0.26,-0.26,-0.28,-0.27,0.27,2.3,2.98,0.83,0.83,0.06,0.32,0.32,0,0,0,3.42
C00231,0,6628,2,5000,89,-14,-4.35,-2.79,-4.35,144.59,74.21,70.38,14.54,16.77,-46.82,-46.82,-46.82,-8.88,9.25,-2.85,74.75,49.02,39.42,0.53,4.05,1.15,0.19,0,0.19,5.18
C00248,0,28944,12,3000,8,5,-3.33,-3.33,-3.33,114.75,30.36,84.39,13.97,0,-0.78,-0.78,-0.98,0,0,1.84,2.8,0.27,0.27,0.21,1.06,1.06,0.15,0,0.15,38.3
C00258,0,282006,35,20000,1766,924,-0.85,0,-0.42,113.23,77.42,35.81,13.64,4.67,-4.25,-2.1,-2.18,-0.63,4.27,46.23,60.15,38.28,20.18,0.8,5.82,5.72,0.15,0,0.15,415.74
C00262,0,434944,30,3500,480,-67,-13.79,-11.55,-14.7,123.64,93.63,30.01,13.5,2.03,-12.18,-12.98,-12.99,-1.97,1.97,-19.25,10.6,8.02,7.47,1.7,0.51,0.1,0.76,0,0.76,0.21
C00278,0,40395,1,5000,89,-89,-15.54,-15.18,-14.07,139.7,47.21,92.49,12.84,0.64,-27.5,-24.91,-25.05,-0.64,0.64,-17.88,21.24,15.65,11.72,0.47,1.89,1.89,0.03,0,0.03,71.09
C00286,0,319897,19,20000,929,850,7.95,7.95,7.87,94.2,54.26,39.94,12.69,0,18.49,18.29,11.61,0.05,0,42.55,27.9,20.95,14.07,1.47,0.6,0.22,0.83,0.4,0.43,138.06
C00294,0,2475109,92,30000,11097,5578,0.16,0.63,0.22,110.28,93.69,16.59,12.54,1.69,0.57,0.78,0.86,0.83,1.69,185.96,43.04,34.24,4.1,2.63,1.7,0.71,0.9,0,0.9,120.74
C00296,0,208549,35,100000,332,132,2.73,3.09,2.73,108.08,68.59,39.48,12.46,0.91,3.48,3.48,2.72,-0.46,0.46,1.32,15.29,9.48,9.47,1.5,0.36,0.36,1.98,0,1.98,87.37
C00301,0,16059,3,74000,74,53,-22.75,-22,-22.75,174.2,9,109.72,12.35,17.07,-72.08,-75.73,-76.04,-2.82,2.82,0.73,44.81,11.56,0.06,3.37,0,0,0,0,0,645.17
C00315,0,639925,18,10000,778,382,8.52,8.94,0.01,99.33,93.25,6.08,11.88,4.25,8.3,0.01,-0.13,1.32,0.41,38.22,11.68,1.42,0.32,1.01,0.78,0.78,0.81,0,0.81,188.18
C00319,0,304501,7,47600,130,-14,5.37,6.96,3.84,109.42,76.81,32.61,11.82,0.55,1.85,1.32,1.27,-0.55,0.55,-0.3,4.13,1.86,1.84,0,0.39,0.39,0.07,0,0.07,48.35
C00321,0,42601,5,15000,96,12,-11.2,-10.07,-11.19,127.82,90.25,37.56,11.7,4.13,-20.25,-20.24,-20.57,-1.09,2.04,0.84,21.69,15.18,13.01,3.19,0.92,0.32,2.17,0,2.17,70.65
C00333,0,134253,6,10000,190,161,20.31,20.31,20.31,88.38,29.63,58.75,11.39,0,23.01,23.01,15.39,1.55,0,16.13,13.6,8.09,2.7,1,0.34,0.13,0.24,0,0.24,126.67
C00342,1,225163,9,3000,136,31,17.66,18.36,9.99,94.28,83.87,10.41,11.27,8.42,8.57,4.84,3.59,-0.34,0.34,10.38,5.82,2.01,1.91,1.18,0.33,0.09,0.41,0,0.41,46.17
C00345,0,2298432,95,10000,12625,11590,1.69,1.7,0.48,102.33,66.04,36.28,11.27,1.5,7.45,2.12,2.12,4.1,0.02,246.39,52.73,15.79,10.75,0.77,3.08,2.16,0.17,0,0.17,510.55
C00368,0,508832,21,48000,424,-377,1.03,3.54,1.03,108.28,84.08,24.2,10.65,1.68,0.69,0.69,0.66,-1.68,1.68,-7.86,8.02,2.63,2.07,2.27,2.72,1.03,3.32,0.12,3.2,6.89
