KAISHA_CODE,TOSAN_FLG,URIAGE,JUGYOIN_SU,SHIHON_KIN,SOU_SHIHON,JIKO_SHIHON,SO_SHIHON_KEIJO_RIEKI_RITU,SO_SHIHON_KIGYO_SHUEKI_RITU,SO_SHIHON_ZEIBIKIMAE_RIEKI_RITU,URIAGE_EIGYO_HIYO_RITU,URIAGE_GENKA_RITU,URIAGE_HANKANHI_RITU,URIAGE_EIGYO_GAI_SHUEKI_RITU,URIAGE_EIGYO_GAI_HIYO_RITU,URIAGE_KEIJO_RIEKI_RITU,URIAGE_ZEIBIKIMAE_RIEKI_RITU,URIAGE_TOKI_RIEKI_RITU,URIAGE_KINYU_SHUSHI_RITU,URIAGE_KINRI_FUTAN_RITU,SHIHON_KIN_BAI_RITU,SO_SHIHON_KAITEN_KIKAN,KOTEI_SHISAN_KAITEN_KIKAN,YUKEI_KOTEI_SHISAN_KAITEN_KIKAN,URIKAKE_KAITEN_KIKAN,TANAOROSHI_KAITEN_KIKAN,SHOHIN_KAITEN_KIKAN,KAIIRE_SAIMU_KAITEN_KIKAN,SHIHARAI_TEGATA_KAITEN_KIKAN,KAIKAKE_KAITEN_KIKAN,GEN_YOKIN_TEMOCHI_NISSU
C07138,0,142375,11,10000,148,24,-4.4,-3.59,1.99,100.24,54.35,45.9,0.7,4.14,-3.68,1.67,1.2,-0.68,0.68,2.49,10.04,4.79,4.29,1.07,2.05,2.05,1.34,0,1.34,65.43
C07167,0,772682,91,15500,517,-155,9.98,13.61,10.14,93.41,82.56,10.85,0.7,1.94,5.35,5.43,5.37,-1.39,1.94,-10.02,6.43,2.7,1.73,1.02,1.54,0.46,0.77,0,0.77,16.98
C07181,0,255005,23,76550,255,135,5.16,5.81,2.68,95.98,80.42,15.56,0.69,0.58,4.13,2.15,1.6,-0.49,0.52,1.76,9.61,3.75,3.04,0.92,0.55,0,0.51,0,0.51,83.12
C07184,1,48838,10,250000,550,160,0.34,0.4,0.27,83.78,41.91,41.87,0.69,13.85,3.06,2.41,2.41,-0.52,0.58,0.64,74.75,13.63,0.4,0.27,14.84,9.7,2.59,0,2.59,1.45
C07191,0,461824,16,33000,554,48,7.61,10.54,5.59,88.56,61.53,27.03,0.69,4.83,7.31,5.37,5.3,-2.81,2.81,1.46,11.52,4.99,3.75,2.7,1.77,0.86,1.35,0,1.35,43.97
C07194,0,9488901,625,700000,9150,2730,4.46,4.5,4.45,97.22,87.45,9.77,0.69,0.03,3.44,3.44,3.5,-0.02,0.03,3.9,9.26,1.26,1.13,3.92,2.33,0.03,2.57,1.83,0.74,10
C07196,0,2927458,178,67500,6701,1098,3.82,4.88,1.12,91.76,67.74,24.02,0.69,1.93,7,2.04,1.25,-1.76,1.93,16.28,21.98,6.13,5.24,3.86,3.42,0,2.89,0.91,1.98,156.11
C07217,0,118009,11,10000,75,9,0.62,1.6,0.88,99.87,53.18,46.68,0.69,0.5,0.32,0.45,0.31,-0.5,0.5,0.99,6.12,1.1,0.82,1.09,0.58,0.58,1.08,0.43,0.65,49.23
C07228,0,863068,35,27000,527,79,5.2,6.52,5.24,97.32,76.06,21.26,0.69,0.83,2.54,2.56,2.15,-0.49,0.65,2.93,5.87,1.02,0.23,1.62,1.23,0.84,1.66,0.65,1.01,48.27
C07230,0,207492,5,10000,160,-43,-11.49,-7.37,-11.49,105.24,87.89,17.35,0.69,2.55,-7.1,-7.1,-7.18,-2.14,2.55,-4.31,7.41,1.35,1.1,1.38,0.8,0,1.45,0,1.45,21.36
C07236,0,17814462,218,100000,3064,1601,-4.98,-4.82,-5.5,101.34,99.24,2.1,0.68,0.02,-0.69,-0.76,-0.76,-0.01,0.02,16.24,1.94,0.61,0.51,0.3,0.4,0.03,0.38,0.13,0.25,3.5
C07239,0,40496,7,18400,366,56,-0.71,1.03,-0.71,93.26,49.05,44.2,0.68,12.55,-5.12,-5.12,-5.44,-8.88,9.25,3.06,74.75,49.02,39.42,8.76,12.94,0.45,0,0,0,13.43
C07254,0,12795676,187,4109722,17317,9166,9.91,10.16,10.47,89.4,77.7,11.69,0.68,0.55,10.73,11.34,11.19,-0.25,0.27,2.21,12.99,6.82,4.38,2.63,1.1,0.05,3.7,3.04,0.67,64.01
C07266,0,458779,23,10000,360,146,7.22,7.83,7.37,95.74,80,15.74,0.68,0.39,4.54,4.63,2.83,-0.29,0.38,14.61,7.55,5.07,4.36,1.84,0.39,0,0.74,0,0.74,8.23
C07267,0,765967,28,98800,1333,683,16.38,16.53,15.85,76.1,39.12,22.99,0.68,15.76,22.81,22.07,12.02,-0.12,0.21,6.92,16.71,5.76,2.25,0.93,0.4,0,0.45,0,0.45,292.66
C07268,0,1030312,74,48000,933,128,0.94,2.57,-0.64,98.77,82,16.77,0.68,1.22,0.68,-0.46,-0.53,-1.18,1.18,2.68,8.7,2.73,2.18,1.96,3.66,0.79,2.54,1.87,0.67,9.16
C07283,0,45910,13,10000,189,185,-8.22,-8.22,-8.15,127.74,82.62,45.12,0.67,0,-27.07,-26.85,-26.97,0.04,0,18.6,39.53,18.04,15.58,1.18,0.83,0,0,0,0,529.13
C07288,1,949880,30,145000,1197,267,0.85,3.45,0.35,96.33,86.78,9.55,0.67,3.48,0.86,0.36,0.05,-2.59,2.62,1.84,12.11,2.67,1.89,1.43,6.13,1.56,2.01,1.72,0.29,43.75
C07289,0,1228363,57,20000,2003,945,11.28,11.99,11.62,84.93,65.14,19.79,0.67,1.01,14.73,15.17,8.33,-0.91,0.92,47.26,15.66,1.73,1.19,5.49,1.79,0,0.85,0,0.85,163.94
C07290,0,220512,9,3500,200,34,6.64,7.66,6.64,95.09,76.73,18.36,0.67,0.75,4.83,4.83,3.58,-0.74,0.74,9.8,8.74,3.35,3.13,2.01,1.3,0.12,1.14,0,1.14,11.97
C07299,0,817573,27,10000,861,198,1.26,1.6,1.26,99.13,69.67,29.46,0.67,0.49,1.06,1.06,0.87,-0.28,0.29,19.88,10.12,3.72,3.13,1.9,0.67,0.67,0.81,0,0.81,106.62
C07306,0,169192,12,242740,99,-210,-52.13,-50.53,-55.12,125.01,72.04,52.97,0.67,3.66,-28,-28.28,-28.42,-2.64,2.64,-0.87,5.63,1.1,0.3,1.63,0.81,0,0.92,0,0.92,58.64
C07321,0,2615342,58,120000,3946,1343,3.96,4.19,2.03,95.6,61.83,33.77,0.67,0.29,4.78,2.45,1.42,-0.2,0.28,11.2,14.49,7.91,5.64,2.43,1.49,1.3,0.5,0,0.5,51.24
C07327,0,1127845,82,24000,1092,121,2.23,2.99,2.23,98.34,73.7,24.65,0.66,0.59,1.72,1.72,1.68,-0.55,0.59,5.07,9.3,3.96,3.3,2.05,1.46,0,2.11,1.15,0.96,52.42
C07331,0,252112,20,10000,182,88,-14.5,-14.08,-14.5,108.84,98.1,10.74,0.66,0.24,-8.42,-8.42,-7.83,-0.24,0.24,8.88,6.97,2.13,2.12,0.96,0.34,0,1.12,0,1.12,49.76
C07346,0,252413,6,10000,317,25,0.13,0.55,0.09,99.94,75.01,24.93,0.66,0.58,0.14,0.09,0.02,-0.41,0.42,2.56,12.09,2.31,1.52,4.2,0.43,0,6.37,1.28,4.83,104.22
C07356,0,854337,64,10000,1349,662,4.82,5.5,4.83,93.71,84.12,9.59,0.66,0.86,6.09,6.1,4.22,-0.82,0.86,66.3,15.16,7.66,4.96,1.15,0.47,0.08,0.61,0,0.61,151.03
