KAISHA_CODE,TOSAN_FLG,URIAGE,JUGYOIN_SU,SHIHON_KIN,SOU_SHIHON,JIKO_SHIHON,SO_SHIHON_KEIJO_RIEKI_RITU,SO_SHIHON_KIGYO_SHUEKI_RITU,SO_SHIHON_ZEIBIKIMAE_RIEKI_RITU,URIAGE_EIGYO_HIYO_RITU,URIAGE_GENKA_RITU,URIAGE_HANKANHI_RITU,URIAGE_EIGYO_GAI_SHUEKI_RITU,URIAGE_EIGYO_GAI_HIYO_RITU,URIAGE_KEIJO_RIEKI_RITU,URIAGE_ZEIBIKIMAE_RIEKI_RITU,URIAGE_TOKI_RIEKI_RITU,URIAGE_KINYU_SHUSHI_RITU,URIAGE_KINRI_FUTAN_RITU,SHIHON_KIN_BAI_RITU,SO_SHIHON_KAITEN_KIKAN,KOTEI_SHISAN_KAITEN_KIKAN,YUKEI_KOTEI_SHISAN_KAITEN_KIKAN,URIKAKE_KAITEN_KIKAN,TANAOROSHI_KAITEN_KIKAN,SHOHIN_KAITEN_KIKAN,KAIIRE_SAIMU_KAITEN_KIKAN,SHIHARAI_TEGATA_KAITEN_KIKAN,KAIKAKE_KAITEN_KIKAN,GEN_YOKIN_TEMOCHI_NISSU
C07366,0,1273970,60,98000,1589,889,7.46,7.58,7.41,93.09,80.72,12.36,0.66,0.12,7.45,7.4,4.65,-0.05,0.12,9.08,11.98,2.77,1.98,1.5,1.63,0.46,3.56,2.8,0.76,120.54
C07385,0,327292,19,18200,390,56,1.42,2.47,1.42,98.04,52.85,45.19,0.65,1.25,1.36,1.36,1.08,-0.99,0.99,3.13,11.47,0.32,0.15,1.91,2.4,2.4,0.83,0,0.83,183.43
C07411,0,371664,50,36000,573,68,0.12,,0.12,97.51,77.67,19.84,0.65,2.99,0.15,0.15,0.1,,0,1.91,14.81,6.6,5.91,2.03,2.68,0.32,2.06,1.42,0.64,80.63
C07421,0,108452,6,10000,108,28,2.41,3.49,2.41,97.71,63.91,33.8,0.65,1,1.93,1.93,1.49,-0.84,0.86,2.8,9.59,0.57,0.14,1.28,3.99,1.38,2.13,1.02,1.11,13.51
C07423,0,14709,1,10000,8,-1,-20.18,-20.18,-20.18,109.99,55.41,54.58,0.65,0.19,-9.53,-9.53,-9.91,0,0,-0.12,5.66,0.62,0.46,2.76,0.84,0.84,0.11,0,0.11,41.78
C07424,0,359663,6,24000,428,395,10.11,10.11,10.1,91.01,60.34,30.67,0.65,0.01,9.63,9.62,8.53,0,0.01,16.48,11.43,5.24,3.92,1.51,1.08,0.09,0.17,0,0.17,107.27
C07429,0,144547,5,36750,103,34,14.71,15.22,14.71,91.95,79.12,12.84,0.65,0.29,8.4,8.4,6.34,-0.29,0.29,0.94,6.85,1.98,0.14,0.58,2.1,0,0.77,0,0.77,52.47
C07430,0,1804956,87,40000,1649,808,10.32,10.48,10.45,90.58,71.07,19.51,0.64,2.51,7.55,7.64,4.47,-0.06,0.12,20.22,8.77,3.7,0.91,0.64,0.91,0.91,3.01,0.71,2.29,67.2
C07443,0,896649,16,430390,2280,751,0.56,1.35,0.56,96.75,56.81,39.94,0.64,2.75,1.14,1.14,0.73,-1.57,1.6,1.75,24.42,8.45,7.5,5.43,2.95,0.27,1.33,0,1.33,188.86
C07460,0,170392,18,23000,155,17,-1.94,-1.18,-1.94,101.21,52.91,48.31,0.64,0.84,-1.41,-1.41,-1.51,-0.54,0.55,0.99,8.74,1.76,0.24,1.83,0.03,0,1.43,0,1.43,146.62
C07473,0,3206830,126,24000,4174,3016,23.5,23.51,23.63,76.15,67.13,9.02,0.64,0.02,24.47,24.61,16.26,0.15,0.01,125.67,12.5,0.94,0.42,2.12,0.53,0,2.45,2,0.46,235.77
C07474,0,1142689,81,165000,1712,1226,3.17,3.3,3.17,96.59,59.51,37.08,0.64,0.25,3.8,3.81,3.34,-0.08,0.15,7.44,14.39,5.77,5.33,1.75,1.75,0.41,0.33,0,0.33,100.55
C07502,0,54295,5,38000,70,7,5.88,7.43,5.52,92.94,48.31,44.63,0.63,1.6,6.08,5.71,5.44,-1.59,1.6,0.19,12.41,5.99,4.34,0.99,1.28,1.28,0.38,0,0.38,121.09
C07506,0,56388,4,3000,35,0,15.46,19.32,7.94,90.86,46.65,44.2,0.63,2.03,7.74,3.98,3.88,-1.93,1.93,0.22,6.01,1.34,0.88,0.56,1.97,0,0.1,0,0.1,8.5
C07514,0,2933128,293,436750,4795,935,3.13,4.4,3.13,94.69,61.82,32.87,0.63,1.85,4.09,4.09,2.22,-1.56,1.66,2.14,15.7,9.15,8.71,2.01,2.22,1.15,2.14,1.65,0.49,48.19
C07519,0,216575,9,20000,237,104,2.55,2.92,3,98.05,65.47,32.58,0.63,0.34,2.24,2.63,2.55,-0.28,0.32,5.21,10.53,3.43,3.02,1.32,0.11,0,0.49,0,0.49,171.01
C07523,0,291900,26,10000,137,-82,-39.37,-34.85,-41.77,113.3,78.92,34.38,0.63,2.16,-14.83,-15.73,-15.75,-1.7,1.7,-8.22,4.52,0.87,0.66,0.98,0.24,0,0.04,0,0.04,8.58
C07540,0,927481,80,50000,536,360,17.1,17.27,11.72,92.51,81.78,10.73,0.62,0.21,7.91,5.42,3.67,-0.07,0.08,7.22,5.55,1.6,1.44,1.05,0.21,0.06,0.35,0,0.35,77.68
C07541,0,480902,55,24000,768,233,8.54,8.96,8.34,89.16,77.82,11.33,0.62,0.54,10.92,10.67,10.29,-0.05,0.54,9.74,15.34,7.78,7.47,2.53,1.17,0,2.73,1.3,1.43,67.62
C07547,0,504998,56,100000,1197,405,1.85,2.74,1.85,95.38,86.48,8.9,0.62,1.72,3.52,3.52,3.43,-1.65,1.69,4.06,22.77,5.85,5.19,3.28,3.18,0,0.42,0.33,0.09,293.97
C07548,0,392656,7,10000,766,558,5.33,5.57,3.9,91.91,38.3,53.61,0.62,0.39,8.32,6.1,4.88,-0.37,0.38,55.86,18.75,8.78,7.44,0.74,2.74,0,0.51,0,0.51,157.48
C07551,0,615839,45,30000,1005,176,-2.54,-0.12,-2.54,97.35,86.59,10.77,0.62,6.59,-3.32,-3.32,-3.35,-3.14,3.16,5.89,15.67,8.39,7.89,3.52,1.64,0.18,1.4,0,1.4,51.11
C07562,0,25283,2,10000,36,3,3.94,5.94,3.94,93.7,45.05,48.65,0.62,2.33,4.59,4.59,4.32,-1.72,2.33,0.33,13.99,8.56,0.91,1.15,0,0,0.66,0,0.66,130.4
C07565,0,499364,17,11000,282,86,3.26,3.91,0.98,98.49,82.48,16.01,0.62,0.65,1.47,0.44,0.19,-0.29,0.3,7.84,5.42,1.93,1.34,0,0.25,0,1.49,1.21,0.29,27.01
C07585,0,58291,4,3000,18,1,-7.25,-5.83,-7.19,102.07,60.63,41.43,0.62,0.35,-1.8,-1.78,-1.88,-0.35,0.35,0.57,2.98,1.33,0.12,0.98,0,0,0.16,0,0.16,18.83
C07588,0,1058439,78,140000,934,578,4.38,4.52,2.64,96.77,68.38,28.38,0.62,0.76,3.09,1.86,0.85,-0.08,0.1,4.1,8.47,2.88,2,1.91,1.87,0.23,0.62,0,0.62,2.17
C07618,0,621223,37,22500,618,127,10.29,11.91,9.49,90.77,73.69,17.08,0.61,1.64,8.19,7.56,5.97,-1.29,1.3,5.66,9.56,3.62,3.03,1.4,0.65,0.21,0.67,0,0.67,63.38
C07626,0,1393171,93,60000,2130,874,3.95,4.9,1.09,94.45,77.49,16.97,0.61,1.33,4.83,1.34,1.5,-1.07,1.16,14.58,14.68,6.72,5.29,1.81,1.92,1.05,1.93,1.49,0.44,107.32
C07651,0,137180,0,10000,189,4,0.66,2.28,0.66,98.09,60.5,37.59,0.61,1.79,0.73,0.73,0.69,-1.79,1.79,0.47,13.27,1.64,1.36,5.76,4.87,1.84,6.02,3.66,0.56,25.46
C07655,0,307456,34,10000,592,311,-1.73,-0.88,-1.7,101.96,83.15,18.81,0.61,1.31,-2.67,-2.63,-2.67,-1.23,1.31,31.11,18.51,9.65,9.07,1.39,0.4,0.11,0.35,0,0.35,197.66
C07659,0,269597,14,50000,521,89,-1.15,0.4,-1.15,100,86.18,13.81,0.61,2.39,-1.77,-1.77,-1.77,-2.35,2.39,1.78,18.55,8.51,7.53,1.73,4.21,2.2,0.36,0,0.36,118.02
C07678,0,426425,18,10000,468,117,0.38,1.26,0.38,99.49,92.82,6.67,0.6,0.78,0.33,0.33,0.19,-0.77,0.78,11.79,10.54,6.36,4.91,1.98,0.82,0,2.45,0,2.45,10.32
C07679,0,2626153,97,99000,2868,873,10.11,10.63,9.01,91.07,74.73,16.35,0.6,0.69,8.84,7.88,4.54,-0.29,0.45,8.82,10.49,3.86,3.28,1.34,1.77,0.03,3.18,2.59,0.6,84.39
C07700,0,1089680,72,80000,2313,1223,10.34,10.44,5.65,82.85,68.04,14.81,0.6,0.19,17.56,9.59,6.53,-0.04,0.17,15.23,20.38,6.68,3.08,2.15,1.75,0.07,0.37,0,0.37,274.84
C07716,0,3334682,29,20000,4486,492,-5.23,-4.54,-6.09,101.25,93.75,7.5,0.59,4.97,-5.62,-6.55,-6.57,-0.58,0.73,24.62,12.91,4.64,2.25,5.22,0.72,0.48,5.44,0,4.83,19.11
C07722,0,114316,17,20000,76,21,0.5,1.08,0.61,99.97,75.81,24.16,0.59,0.34,0.27,0.33,0.1,-0.31,0.31,1.1,6.43,4.86,4.85,1.42,0,0,0.42,0,0.42,4.91
C07740,0,806960,30,51200,1140,385,6.46,6.95,6.02,92.73,50.8,41.93,0.59,0.55,7.31,6.81,4.09,-0.54,0.55,7.52,13.57,4.89,4.07,4.54,2.77,2.77,0.25,0.04,0.22,25.78
C07751,0,180564,8,10000,240,59,3.59,3.99,3.38,96.28,79.64,16.65,0.59,0.49,3.82,3.59,2.54,-0.41,0.42,5.94,12.77,7.48,7.41,0.98,0.69,0,2.55,1.58,0.97,83.51
C07760,0,140579,2,6500,157,53,21.69,23.35,21.93,79.47,45.19,34.28,0.59,1.67,19.44,19.65,12.04,-1.47,1.48,8.17,10.75,4.61,2.74,0.52,0.14,0,0.51,0.2,0.31,112.29
C07787,0,633032,38,10000,1254,1076,0.03,0.03,0.27,98.73,81.71,17.03,0.58,1.79,0.05,0.43,0.18,0.35,0,107.64,19.03,5.81,3.46,1.83,0.11,0,1.79,1.09,0.7,88.77
C07800,0,463151,16,40400,337,24,-8.88,-8.27,-8.85,104.57,76.66,27.91,0.58,1.18,-5.18,-5.16,-5.34,-0.06,0.35,0.62,6.99,0.98,0.17,2.1,2.43,0.51,3.77,0,3.77,1.96
C07806,0,216049,15,10000,151,40,0.42,1.93,0.85,99.5,54.64,44.86,0.58,0.84,0.24,0.48,0.3,-0.84,0.84,4.06,6.72,4.92,1.48,1.29,0.23,0,1.78,1.09,0.69,8.56
C07826,0,628380,38,10000,313,-19,-7.38,-4.64,-7.38,102.42,86.35,16.07,0.58,1.11,-2.95,-2.95,-2.97,-1.08,1.1,-1.95,4.79,0.23,0.03,2.24,1.14,0,1.64,0.72,0.92,8.34
C07836,0,1680712,231,35000,1375,268,-2.26,-2.26,-2.26,101.98,96.39,5.6,0.58,0.07,-1.48,-1.48,-1.03,0.01,0,7.68,7.85,2.4,0.8,2.98,0.62,0.4,0.89,0,0.89,43.08
C07843,0,842921,49,30000,928,351,2.28,2.89,2.28,98.02,62.28,35.74,0.58,0.55,2.01,2.01,1.23,-0.52,0.54,11.72,10.57,2.22,0.63,2.21,2.09,0.58,0.67,0,0.67,101.92
C07858,0,234732,17,20000,216,97,7.24,7.95,7.49,94.71,43,51.71,0.57,0.53,5.33,5.52,3.84,-0.52,0.53,4.86,8.85,3.27,2.63,2.06,0.45,0.45,1.18,0.78,0.4,88.38
C07861,0,1277428,58,10000,1686,194,1.44,3.28,1.56,97.1,84.02,13.09,0.57,1.94,1.53,1.65,0.82,-1.93,1.94,19.44,12.68,2.82,2.11,2.05,2.45,0,0.61,0,0.61,155.96
C07875,0,1704889,20,10000,1671,903,5.49,5.73,5.38,95.82,88.81,7.01,0.57,0.45,4.3,4.22,2.65,-0.18,0.19,90.34,9.41,4.29,3.78,1.79,0.77,0.14,2.81,1.79,1.02,27.15
C07879,0,541064,35,10000,625,208,2.53,3.08,2.69,97.72,83.76,13.96,0.57,0.51,2.33,2.49,1.44,-0.47,0.51,20.89,11.09,5.4,3.52,2.1,0.8,0,1.26,1.04,0.22,76.45
C07881,0,66174,1,30000,95,-17,3.96,7.83,5.46,90.89,64.53,26.37,0.57,5.09,4.59,6.32,6.1,-4.47,4.48,-0.59,13.9,3.24,0.6,2.6,4.39,1.31,3.07,0.84,2.23,43.54
C07895,0,40062,3,3000,43,-2,3.59,6.67,3.59,94.85,51.84,43.01,0.57,2.64,3.08,3.08,2.94,-2.64,2.64,-0.93,10.31,7.02,6.92,1.3,1.22,0,0.67,0,0.67,19.74
C07900,0,258664,9,14000,519,429,0.34,0.41,0.16,99.92,60.96,38.96,0.57,0.11,0.55,0.26,0.07,-0.1,0.11,30.67,19.29,10.96,7.38,0,1.48,0,2,2,0,120.34
C07901,0,1211754,60,98000,964,97,1.39,1.7,1.38,99.44,97.78,1.66,0.57,0.24,0.89,0.88,0.75,-0.19,0.2,1,7.64,1.49,1.45,2.73,1.98,0,3.27,2.32,0.95,38.32
C07907,0,223291,9,10000,166,26,13.63,14.54,13.66,91.76,60.98,30.78,0.56,0.68,8.12,8.14,7.93,-0.46,0.54,2.69,7.15,1.66,0.22,1.88,0.53,0,2.35,1.59,0.76,16.5
C07915,0,2588950,60,60000,2735,714,11.96,13.04,7.48,89.43,64.89,24.54,0.56,1.03,10.11,6.32,2.72,-0.85,0.91,11.91,10.14,4.84,3.54,0.7,2.84,2.15,1.69,1.15,0.54,29.48
C07919,0,2345590,150,60000,3227,654,-4.57,-4.02,-4.56,104.99,89.94,15.05,0.56,0.6,-5.03,-5.02,-4.08,-0.59,0.6,10.91,13.21,4.9,3.86,2.52,1.15,0.02,0.61,0,0.61,108.5
C07929,0,114637,5,10000,172,10,0.25,1.99,0.1,98.17,75.92,22.25,0.56,2.09,0.3,0.12,0.04,-2.09,2.09,1.06,14.42,7.78,7.48,1.28,2.11,0,0.76,0,0.76,30.27
C07946,0,1517480,29,24000,1930,929,0.74,1.44,-0.31,99.02,91.54,7.48,0.56,0.79,0.75,-0.32,-0.35,-0.66,0.71,38.72,12.21,2.52,2.07,3.4,1.33,0.84,1.16,0,1.16,143.91
C07955,0,3105193,95,100000,4314,456,5.1,5.94,3.39,93.44,73.94,19.5,0.55,1.44,5.67,3.77,2.15,-0.91,0.94,4.56,13.34,5.27,4.26,2.7,1.16,0.09,2.25,1.39,0.85,119.38
C07957,0,565912,63,15000,550,194,14.53,15.64,5.78,88.37,80.51,7.86,0.55,0.86,11.32,4.5,3.03,-0.79,0.86,12.95,9.35,3.5,3.03,0.98,0.28,0,1.84,1.42,0.42,103.86
C07962,0,778987,13,20000,421,288,2.59,3.06,2.59,99.22,87.68,11.54,0.55,0.2,1.12,1.12,0.95,-0.18,0.2,14.41,5.2,0.16,0,1.04,0,0,0.04,0,0.04,89.93
C07974,0,564972,8,20810,1084,525,7.82,8.34,11.53,87.73,77.56,10.17,0.55,0.8,12.02,17.7,11.05,-0.59,0.8,25.26,18.43,4.84,1.23,1.36,1.12,1.12,0.05,0,0.05,245.45
C07975,0,1403296,82,87987,1378,320,13.94,14.49,7.69,89.05,47.38,41.67,0.55,0.54,10.96,6.04,3.14,-0.24,0.43,3.64,9.43,2.04,0.3,1.07,1.79,0.56,0.15,0,0.15,96.73
C07978,0,5560871,108,100000,6083,1735,2.04,2.87,2.07,97.91,93.33,4.59,0.55,0.85,1.79,1.81,1.78,-0.54,0.72,17.35,10.5,3.17,0.62,3.03,2.11,0.46,2.07,0,2.07,61.28
C07985,0,888863,29,10000,900,318,3.88,4.08,3.43,97.24,73.27,23.97,0.55,0.16,3.15,2.78,1.1,-0.14,0.16,31.85,9.72,1.64,1.41,0.56,1.74,0.07,2.53,1.14,1.39,121.7
C07993,0,150309,8,10000,223,42,4.21,5.65,4.42,93.85,67.1,26.75,0.55,1.7,5,5.25,5.21,-1.61,1.7,4.28,14.26,1.2,0.11,1.74,0.11,0,1.43,1,0.43,248.22
C08005,0,3210395,202,74700,2721,634,-2.31,-2.24,-5.8,101.59,95.26,6.33,0.55,0.52,-1.56,-3.93,-4.45,-0.03,0.04,8.35,8.14,1.93,1.64,3.51,1.49,0.02,3.01,1.5,1.51,17.08
C08006,0,1789784,70,40000,2055,1418,14.07,14.21,14.05,87.14,79.05,8.09,0.55,0.48,12.93,12.91,7.27,-0.13,0.13,22.52,11.03,1.67,1.29,1.47,0.81,0.16,1.17,0.28,0.89,71.47
C08007,0,238862,19,61000,118,2,20.6,23.54,20.6,91.17,42.99,48.18,0.55,1.17,8.21,8.21,8.14,-1.06,1.17,0.04,4.78,0.3,0.01,2.4,1.17,0,1.46,0.53,0.93,14.64
C08011,0,2328039,276,18000,1318,683,7.07,7.13,7.16,97.26,92.32,4.94,0.55,0.09,3.21,3.24,1.93,0,0.03,38,5.44,0.98,0.39,1.11,0.02,0,0.02,0,0.02,75.98
C08017,0,14913534,786,1200000,11089,2077,6.56,6.72,6.56,96.44,82.44,14,0.55,0.21,3.9,3.9,2.5,0.33,0.1,1.73,7.14,1.63,0.61,2.47,2.63,0,1.56,0.16,1.39,0.12
C08043,0,558521,15,30000,489,160,7.02,7.56,7.16,94.96,82.16,12.8,0.54,0.65,4.93,5.02,3.61,-0.38,0.38,5.36,8.42,1.99,1.52,1.61,0.56,0,1.14,0,1.14,61.42
C08047,0,432352,33,20000,434,97,3.24,4.33,3.5,97.06,85.38,11.68,0.54,0.88,2.6,2.82,1.93,-0.84,0.88,4.89,9.65,4.22,1.39,1.55,1.08,0,2.31,1.74,0.57,68.88
C08056,0,129326,13,10000,217,109,0.34,1.39,0.54,98.67,85.22,13.44,0.54,1.41,0.46,0.73,0.67,-0.94,1.41,10.99,16.15,6.26,5.29,1.63,0.64,0.2,2.5,1.56,0.94,177.41
C08075,0,297090,23,52000,341,84,2.26,4.04,1.61,96.34,75.53,20.81,0.54,2.13,2.08,1.48,1.22,-1.57,1.64,1.62,11.03,3.65,3.06,2.35,1.59,0.22,0.91,0,0.91,93.42
C08085,0,518924,10,30000,402,78,1.22,3.19,1.22,98.34,88.07,10.27,0.53,1.44,0.76,0.76,0.41,-1.22,1.22,2.63,7.45,0.78,0.04,1.91,2.44,0.43,2.25,1.5,0.75,46.92
C08133,0,3700736,77,20000,3380,241,5.17,5.43,5.17,96.42,92.72,3.7,0.53,0.34,3.78,3.78,2.17,-0.18,0.19,12.08,8.77,1.62,1.02,2.02,1.59,0,5.96,3.66,1.08,40.97
C08154,0,280315,7,10000,334,192,9.88,10.25,9.88,90.73,42.3,48.43,0.53,0.36,9.44,9.44,6.13,-0.32,0.35,19.23,11.46,5.27,5.01,1.54,1.06,1.06,0.75,0,0.75,99.95
C08155,0,3618983,401,210000,4616,1862,2.48,2.63,5.58,97.6,89.84,7.76,0.53,0.4,2.53,5.7,4.62,-0.02,0.16,8.87,12.24,4.83,3.64,3.82,1.07,0,1.94,1.4,0.53,67.9
C08172,0,530770,13,35000,287,202,31.75,31.99,31.69,86.68,70.08,16.6,0.52,0.1,13.74,13.71,8.45,-0.05,0.1,5.77,5.19,0.22,0.16,0.81,1.11,0.34,0.31,0,0.31,63.3
C08182,0,102135,10,3000,47,-43,-25.29,-21.57,-25.29,108.15,56.06,52.09,0.52,1.74,-9.37,-9.37,-9.37,-1.37,1.38,-14.56,4.45,0.34,0.12,0.58,0.25,0,0.21,0.15,0.06,33.73
C08193,0,433412,22,25000,449,117,3.83,4.37,3.83,96.84,79.03,17.81,0.52,0.51,3.18,3.18,3.14,-0.44,0.46,4.7,9.97,6.26,6.22,0.56,0.44,0,0.13,0,0.13,68.79
C08204,0,199476,9,10000,117,-4,1.19,1.87,1.19,99.57,63.56,36.01,0.52,0.39,0.56,0.56,0.53,-0.31,0.32,-0.42,5.66,1.39,0.54,1.29,0.32,0.32,1.08,0.47,0.61,62.48
C08213,0,385984,45,10000,502,-366,-6.19,1.45,-15.58,98.82,69.78,29.05,0.52,8.15,-6.45,-16.23,-16.27,-7.83,7.96,-28.45,12.5,9.95,9.79,1.39,0.58,0,0.37,0,0.37,12.5
