UserID,isAd
U000001,0
U000003,0
U000004,0
U000005,0
U000006,0
U000008,0
U000009,0
U000011,0
U000012,0
U000013,0
U000014,0
U000015,0
U000016,0
U000017,0
U000019,0
U000020,0
U000021,1
U000022,0
U000023,1
U000024,0
U000025,1
U000026,0
U000027,0
U000028,0
U000029,0
U000030,0
U000031,0
U000032,0
U000033,0
U000034,1
U000035,0
U000036,0
U000037,1
U000038,0
U000039,0
U000040,1
U000041,0
U000042,0
U000043,0
U000044,0
U000045,1
U000046,0
U000048,0
U000049,0
U000050,0
U000051,0
U000052,0
U000053,0
U000054,0
U000055,0
U000056,0
U000057,0
U000058,0
U000059,0
U000060,0
U000061,0
U000062,0
U000063,0
U000064,0
U000065,0
U000066,0
U000067,0
U000068,0
U000069,0
U000070,1
U000071,0
U000072,0
U000073,0
U000074,0
U000075,0
U000076,1
U000077,0
U000078,0
U000079,0
U000080,0
U000081,0
U000082,0
U000083,0
U000084,0
U000086,1
U000087,1
U000088,0
U000090,0
U000092,0
U000093,0
U000094,0
U000095,0
U000096,0
U000097,0
U000098,0
U000099,0
U000100,0
U000101,0
U000102,0
U000103,0
U000104,0
U000105,0
U000106,0
U000107,0
U000108,1
U000109,0
U000110,0
U000111,0
U000112,0
U000113,0
U000114,0
U000115,0
U000116,0
U000117,0
U000118,0
U000119,0
U000120,0
U000121,0
U000123,0
U000124,0
U000125,0
U000126,0
U000127,1
U000128,0
U000129,0
U000131,0
U000132,0
U000133,0
U000134,1
U000135,0
U000136,0
U000137,0
U000138,0
U000139,0
U000140,0
U000141,0
U000142,1
U000144,0
U000145,0
U000146,0
U000147,0
U000148,0
U000149,0
U000150,0
U000151,0
U000152,0
U000153,0
U000154,0
U000155,0
U000156,0
U000157,0
U000158,0
U000159,0
U000160,0
U000161,0
U000163,1
U000164,0
U000165,0
U000166,1
U000167,0
U000168,0
U000169,0
U000170,0
U000171,0
U000172,0
U000174,0
U000175,0
U000177,0
U000178,0
U000179,0
U000180,1
U000181,0
U000184,0
U000185,0
U000186,0
U000188,0
U000189,0
U000190,0
U000191,0
U000192,0
U000193,0
U000195,0
U000197,0
U000198,0
U000199,0
U000200,0
U000201,0
U000202,0
U000203,0
U000204,0
U000205,0
U000206,0
U000207,0
U000208,0
U000209,0
U000210,0
U000211,0
U000212,0
U000213,0
U000214,0
U000215,0
U000216,1
U000217,0
U000219,0
U000220,0
U000221,0
U000222,0
U000223,0
U000224,0
U000225,0
U000226,0
U000227,0
U000228,0
U000229,0
U000230,0
U000231,0
U000232,0
U000233,0
U000234,0
U000235,0
U000236,1
U000237,1
U000238,0
U000240,0
U000242,0
U000243,0
U000244,0
U000246,0
U000247,1
U000248,0
U000249,0
U000250,0
U000251,0
U000252,0
U000253,0
U000256,0
U000257,0
U000258,0
U000259,0
U000260,0
U000261,0
U000262,0
U000263,0
U000264,0
U000265,0
U000266,0
U000267,0
U000268,0
U000269,1
U000270,0
U000272,0
U000273,0
U000274,0
U000275,0
U000276,0
U000277,0
U000279,0
U000280,0
U000281,0
U000282,0
U000284,0
U000285,1
U000286,0
U000287,0
U000288,0
U000289,0
U000291,0
U000293,0
U000295,0
U000296,0
U000300,0
U000302,0
U000303,0
U000304,0
U000305,0
U000307,0
U000308,0
U000309,0
U000311,1
U000312,0
U000313,0
U000314,0
U000315,0
U000316,0
U000317,0
U000318,0
U000319,0
U000320,1
U000321,0
U000322,1
U000324,0
U000325,0
U000326,0
U000327,0
U000328,0
U000329,0
U000330,0
U000331,0
U000332,0
U000333,0
U000334,0
U000336,0
U000337,0
U000338,0
U000341,0
U000342,0
U000343,0
U000344,0
U000345,0
U000346,1
U000347,0
U000348,0
U000350,0
U000351,0
U000352,0
U000355,1
U000357,0
U000358,0
U000359,0
U000360,1
U000361,1
U000362,1
U000363,0
U000365,0
U000366,1
U000367,0
U000368,0
U000369,0
U000370,0
U000372,0
U000373,0
U000374,1
U000375,0
U000376,0
U000377,0
U000378,0
U000379,0
U000380,0
U000381,1
U000383,1
U000384,1
U000385,0
U000386,0
U000387,0
U000388,0
U000389,0
U000390,0
U000391,0
U000392,0
U000393,0
U000394,0
U000395,0
U000396,0
U000397,0
U000398,0
U000400,0
U000401,0
U000402,0
U000403,0
U000404,0
U000405,0
U000406,1
U000407,0
U000409,0
U000410,0
U000411,0
U000412,0
U000413,0
U000414,0
U000415,0
U000416,0
U000417,0
U000418,0
U000419,0
U000420,0
U000421,0
U000422,0
U000423,0
U000424,0
U000425,0
U000426,0
U000427,0
U000428,0
U000429,0
U000430,0
U000431,0
U000432,0
U000433,0
U000434,0
U000435,0
U000436,0
U000437,0
U000438,0
U000439,0
U000440,0
U000441,0
U000443,0
U000444,0
U000446,0
U000447,0
U000448,0
U000449,0
U000450,0
U000452,0
U000453,0
U000454,0
U000455,0
U000456,0
U000457,0
U000459,0
U000460,0
U000461,1
U000462,0
U000463,0
U000464,0
U000465,0
U000466,0
U000467,0
U000468,0
U000469,0
U000470,1
U000472,0
U000473,0
U000474,0
U000475,1
U000476,0
U000477,0
U000478,0
U000479,0
U000481,0
U000482,0
U000484,0
U000485,0
U000486,0
U000487,0
U000488,0
U000489,0
U000490,1
U000491,0
U000492,0
U000493,0
U000494,0
U000495,0
U000496,0
U000497,0
U000498,0
U000499,0
U000500,0
U000501,0
U000502,0
U000503,0
U000504,0
U000505,0
U000507,0
U000508,0
U000510,0
U000511,0
U000512,0
U000513,0
U000514,0
U000515,0
U000516,0
U000517,1
U000518,0
U000519,0
U000520,0
U000521,0
U000522,0
U000523,1
U000524,0
U000525,0
U000526,0
U000527,0
U000528,0
U000529,0
U000530,0
U000531,0
U000533,1
U000534,0
U000535,0
U000536,0
U000537,0
U000538,0
U000539,0
U000540,0
U000541,1
U000542,1
U000543,1
U000544,0
U000545,0
U000546,0
U000548,0
U000549,0
U000550,0
U000551,0
U000552,0
U000553,0
U000554,0
U000556,0
U000557,0
U000558,0
U000559,0
U000560,0
U000562,0
U000563,0
U000564,0
U000565,0
U000566,0
U000567,0
U000568,0
U000569,0
U000572,0
U000574,0
U000575,0
U000576,1
U000577,0
U000578,0
U000579,1
U000580,0
U000581,0
U000582,0
U000583,0
U000584,0
U000585,0
U000586,0
U000587,0
U000588,0
U000590,0
U000591,0
U000592,0
U000593,0
U000594,0
U000595,0
U000596,0
U000597,0
U000599,1
U000600,0
U000601,0
U000602,0
U000603,0
U000604,0
U000605,0
U000606,0
U000607,0
U000608,0
U000610,0
U000611,0
U000612,0
U000613,1
U000614,0
U000615,0
U000616,0
U000618,0
U000619,0
U000620,0
U000621,0
U000622,0
U000623,1
U000625,0
U000626,0
U000628,0
U000629,0
U000630,0
U000631,0
U000632,0
U000633,0
U000634,1
U000635,0
U000636,0
U000637,0
U000639,0
U000640,1
U000641,0
U000642,0
U000643,0
U000645,0
U000646,1
U000647,0
U000648,0
U000649,0
U000650,0
U000651,0
U000652,0
U000653,0
U000654,1
U000655,0
U000656,0
U000658,0
U000659,0
U000660,0
U000662,0
U000663,0
U000664,0
U000665,0
U000666,0
U000667,0
U000668,0
U000669,0
U000670,0
U000671,0
U000672,1
U000673,0
U000674,0
U000675,0
U000676,0
U000678,0
U000679,0
U000680,0
U000682,0
U000683,0
U000684,0
U000685,0
U000686,0
U000688,0
U000689,0
U000690,0
U000691,0
U000693,0
U000694,1
U000695,0
U000696,1
U000697,1
U000698,1
U000699,0
U000700,0
U000701,0
U000702,0
U000703,0
U000704,1
U000706,0
U000707,0
U000708,0
U000709,1
U000710,1
U000711,0
U000712,0
U000713,0
U000714,0
U000716,0
U000717,0
U000718,0
U000719,0
U000721,0
U000722,0
U000723,0
U000724,0
U000725,0
U000726,1
U000727,1
U000728,0
U000729,0
U000730,0
U000731,0
U000732,0
U000733,0
U000735,0
U000736,0
U000737,0
U000741,0
U000743,0
U000744,1
U000745,0
U000746,1
U000747,0
U000748,0
U000749,0
U000750,0
U000751,0
U000752,0
U000753,0
U000754,0
U000755,0
U000756,0
U000757,0
U000759,0
U000760,1
U000761,0
U000762,0
U000764,0
U000765,0
U000766,1
U000767,0
U000769,0
U000770,1
U000771,0
U000772,0
U000773,0
U000774,0
U000776,0
U000777,0
U000778,0
U000779,0
U000780,0
U000782,0
U000783,0
U000784,0
U000785,0
U000787,0
U000788,0
U000789,1
U000790,0
U000791,0
U000792,0
U000793,0
U000794,0
U000795,0
U000796,0
U000797,0
U000798,0
U000799,0
U000800,0
U000801,1
U000802,0
U000803,0
U000804,0
U000806,0
U000807,0
U000808,0
U000809,0
U000810,0
U000811,0
U000812,0
U000813,1
U000814,0
U000815,0
U000816,0
U000817,0
U000818,0
U000819,0
U000820,0
U000821,0
U000822,0
U000823,1
U000824,0
U000826,0
U000827,0
U000828,0
U000829,1
U000830,0
U000831,0
U000832,0
U000833,0
U000834,0
U000835,0
U000836,0
U000837,0
U000838,0
U000839,0
U000840,0
U000841,1
U000842,0
U000843,0
U000844,0
U000845,0
U000846,0
U000847,0
U000848,0
U000850,0
U000851,0
U000852,0
U000853,0
U000854,0
U000855,0
U000858,0
U000859,0
U000860,0
U000861,0
U000863,0
U000864,1
U000865,0
U000866,0
U000867,0
U000868,0
U000869,0
U000870,0
U000871,0
U000872,0
U000873,0
U000874,0
U000875,1
U000878,1
U000879,0
U000880,0
U000881,0
U000882,0
U000883,0
U000884,0
U000885,0
U000886,0
U000887,0
U000888,0
U000889,0
U000890,1
U000891,0
U000892,0
U000893,0
U000894,0
U000895,0
U000897,0
U000898,0
U000899,0
U000900,1
U000901,0
U000902,1
U000903,0
U000904,0
U000905,0
U000906,0
U000907,0
U000908,0
U000909,0
U000910,0
U000911,1
U000912,0
U000913,0
U000914,0
U000915,0
U000916,0
U000917,0
U000919,1
U000920,0
U000921,0
U000922,0
U000923,0
U000924,0
U000925,0
U000926,0
U000927,0
U000928,0
U000929,0
U000930,0
U000931,0
U000932,0
U000933,0
U000934,0
U000935,0
U000936,0
U000937,0
U000940,0
U000941,0
U000942,0
U000943,0
U000944,0
U000945,0
U000946,0
U000947,0
U000948,0
U000949,1
U000950,0
U000951,0
U000952,0
U000953,0
U000954,0
U000955,0
U000956,0
U000957,0
U000958,0
U000959,0
U000960,0
U000962,0
U000963,1
U000964,0
U000965,0
U000966,0
U000967,0
U000968,0
U000969,0
U000971,0
U000972,0
U000974,1
U000975,0
U000976,1
U000977,0
U000978,0
U000980,0
U000981,0
U000982,0
U000983,0
U000984,0
U000985,0
U000986,0
U000988,0
U000989,0
U000990,0
U000991,0
U000992,1
U000993,1
U000994,0
U000995,1
U000996,1
U000997,0
U000998,0
U000999,1
U001000,0
U001001,0
U001002,0
U001003,0
U001004,0
U001005,1
U001006,0
U001007,0
U001008,1
U001009,0
U001010,0
U001011,0
U001012,0
U001013,0
U001014,1
U001017,0
U001018,0
U001019,0
U001020,0
U001021,0
U001022,1
U001023,0
U001024,0
U001025,1
U001026,0
U001027,1
U001028,1
U001029,0
U001030,0
U001032,0
U001033,0
U001034,0
U001035,0
U001036,1
U001037,0
U001038,0
U001039,0
U001040,0
U001041,0
U001042,0
U001043,0
U001044,0
U001045,0
U001046,0
U001047,0
U001048,0
U001049,1
U001051,0
U001052,1
U001054,0
U001055,0
U001056,0
U001057,0
U001058,0
U001059,0
U001060,0
U001061,0
U001062,1
U001063,0
U001064,0
U001065,0
U001066,0
U001067,0
U001068,0
U001069,0
U001070,1
U001072,0
U001073,0
U001074,0
U001075,0
U001076,0
U001079,0
U001080,0
U001082,0
U001083,0
U001085,0
U001086,0
U001087,0
U001088,0
U001091,0
U001092,0
U001093,0
U001094,0
U001095,0
U001096,0
U001097,0
U001098,0
U001099,0
U001100,0
U001101,0
U001102,0
U001103,0
U001105,0
U001106,0
U001107,0
U001109,0
U001110,0
U001111,0
U001112,0
U001113,0
U001114,0
U001117,0
U001121,0
U001122,0
U001123,0
U001124,0
U001125,0
U001126,0
U001127,0
U001128,0
U001129,0
U001130,0
U001131,0
U001132,0
U001133,0
U001134,0
U001136,0
U001137,0
U001139,0
U001140,0
U001142,0
U001143,0
U001144,1
U001145,0
U001146,0
U001147,0
U001148,0
U001149,0
U001150,0
U001151,0
U001152,0
U001153,0
U001154,0
U001155,0
U001156,0
U001157,0
U001158,0
U001159,0
U001160,0
U001161,0
U001162,0
U001163,0
U001164,0
U001165,0
U001166,0
U001167,0
U001169,0
U001170,1
U001171,0
U001172,0
U001175,0
U001176,0
U001177,0
U001178,0
U001179,0
U001180,0
U001181,0
U001182,0
U001183,0
U001184,0
U001185,0
U001187,0
U001188,0
U001189,0
U001190,0
U001191,0
U001192,0
U001193,1
U001194,1
U001195,0
U001196,0
U001197,0
U001199,0
U001200,0
U001201,0
U001202,0
U001203,0
U001204,0
U001205,0
U001206,0
U001207,0
U001208,1
U001209,0
U001210,0
U001211,0
U001212,1
U001213,0
U001214,0
U001215,0
U001216,0
U001217,0
U001218,0
U001219,0
U001220,0
U001221,0
U001222,0
U001223,0
U001224,0
U001225,0
U001226,0
U001227,1
U001228,0
U001229,0
U001230,0
U001232,0
U001233,0
U001234,0
U001235,0
U001236,1
U001237,0
U001238,0
U001239,0
U001240,0
U001241,0
U001242,0
U001243,0
U001244,0
U001245,1
U001246,0
U001247,0
U001248,1
U001250,0
U001252,0
U001253,0
U001254,1
U001255,0
U001257,0
U001258,0
U001259,0
U001260,0
U001261,0
U001262,0
U001263,0
U001264,0
U001265,0
U001266,0
U001267,0
U001268,0
U001272,0
U001273,0
U001274,0
U001275,0
U001276,0
U001277,0
U001278,0
U001279,0
U001280,0
U001282,0
U001283,0
U001284,0
U001285,1
U001286,0
U001287,0
U001288,0
U001289,0
U001290,0
U001291,0
U001292,1
U001293,0
U001294,0
U001295,0
U001296,0
U001298,0
U001299,0
U001300,0
U001301,0
U001302,1
U001303,0
U001304,0
U001306,0
U001307,0
U001308,0
U001309,0
U001310,0
U001311,0
U001312,0
U001313,0
U001314,0
U001315,0
U001316,0
U001317,0
U001319,0
U001321,0
U001322,0
U001323,0
U001325,0
U001326,0
U001327,0
U001328,0
U001329,0
U001330,1
U001331,0
U001332,0
U001333,0
U001335,0
U001336,0
U001338,0
U001339,0
U001340,0
U001341,0
U001342,0
U001343,0
U001344,0
U001345,0
U001346,0
U001347,0
U001348,0
U001349,0
U001350,0
U001351,1
U001353,0
U001354,0
U001355,0
U001356,0
U001357,0
U001358,0
U001359,0
U001361,0
U001362,0
U001363,0
U001364,0
U001365,1
U001366,0
U001367,1
U001368,1
U001369,0
U001370,0
U001371,0
U001373,0
U001374,0
U001375,1
U001376,0
U001377,0
U001378,0
U001380,0
U001381,0
